nuclides,reactions,groups,xs
I135,"(n,gamma)",1,76.92708775822352
I135,"(n,gamma)",2,43.0842724787189
I135,"(n,gamma)",3,29.02629724760199
I135,"(n,gamma)",4,19.665643484003887
I135,"(n,gamma)",5,10.482755779477687
I135,"(n,gamma)",6,1.381567677828336
I135,"(n,gamma)",7,0.004700873450760997
I135,"(n,gamma)",8,0.0006354285847618333
I135,fission,1,0.0
I135,fission,2,0.0
I135,fission,3,0.0
I135,fission,4,0.0
I135,fission,5,0.0
I135,fission,6,0.0
I135,fission,7,0.0
I135,fission,8,0.0
Xe135,"(n,gamma)",1,2827850.55012008
Xe135,"(n,gamma)",2,2396791.6580282324
Xe135,"(n,gamma)",3,459245.6221408725
Xe135,"(n,gamma)",4,43405.40992452938
Xe135,"(n,gamma)",5,2301.699161412511
Xe135,"(n,gamma)",6,4.126955816777288
Xe135,"(n,gamma)",7,0.04321067554743292
Xe135,"(n,gamma)",8,0.007633868277569617
Xe135,fission,1,0.0
Xe135,fission,2,0.0
Xe135,fission,3,0.0
Xe135,fission,4,0.0
Xe135,fission,5,0.0
Xe135,fission,6,0.0
Xe135,fission,7,0.0
Xe135,fission,8,0.0
Xe136,"(n,gamma)",1,0.2506846905369421
Xe136,"(n,gamma)",2,0.14085003494159912
Xe136,"(n,gamma)",3,0.09522233339596967
Xe136,"(n,gamma)",4,0.0648150197960599
Xe136,"(n,gamma)",5,0.034955475185473754
Xe136,"(n,gamma)",6,0.005968690086933935
Xe136,"(n,gamma)",7,0.0008232068451116411
Xe136,"(n,gamma)",8,0.0006857452756728372
Xe136,fission,1,0.0
Xe136,fission,2,0.0
Xe136,fission,3,0.0
Xe136,fission,4,0.0
Xe136,fission,5,0.0
Xe136,fission,6,0.0
Xe136,fission,7,0.0
Xe136,fission,8,0.0
Cs135,"(n,gamma)",1,8.320149754421054
Cs135,"(n,gamma)",2,4.607702713104306
Cs135,"(n,gamma)",3,3.0410378737419235
Cs135,"(n,gamma)",4,1.9708431745647774
Cs135,"(n,gamma)",5,0.874325984002256
Cs135,"(n,gamma)",6,6.477740110254156
Cs135,"(n,gamma)",7,0.12510406782113875
Cs135,"(n,gamma)",8,0.01974168426352417
Cs135,fission,1,0.0
Cs135,fission,2,0.0
Cs135,fission,3,0.0
Cs135,fission,4,0.0
Cs135,fission,5,0.0
Cs135,fission,6,0.0
Cs135,fission,7,0.0
Cs135,fission,8,0.0
Gd157,"(n,gamma)",1,228398.01378937502
Gd157,"(n,gamma)",2,70006.39136060297
Gd157,"(n,gamma)",3,10593.042965284028
Gd157,"(n,gamma)",4,1423.0285312577512
Gd157,"(n,gamma)",5,152.71774752291975
Gd157,"(n,gamma)",6,41.794998317665446
Gd157,"(n,gamma)",7,0.8056165433081003
Gd157,"(n,gamma)",8,0.054374946695766604
Gd157,fission,1,0.0
Gd157,fission,2,0.0
Gd157,fission,3,0.0
Gd157,fission,4,0.0
Gd157,fission,5,0.0
Gd157,fission,6,0.0
Gd157,fission,7,0.0
Gd157,fission,8,0.0
Gd156,"(n,gamma)",1,1.7261110879450303
Gd156,"(n,gamma)",2,0.970113586470448
Gd156,"(n,gamma)",3,0.6571182789165031
Gd156,"(n,gamma)",4,0.44992306903847723
Gd156,"(n,gamma)",5,0.2523340468044566
Gd156,"(n,gamma)",6,13.90169239219448
Gd156,"(n,gamma)",7,0.3776101177031728
Gd156,"(n,gamma)",8,0.09812510756482894
Gd156,fission,1,0.0
Gd156,fission,2,0.0
Gd156,fission,3,0.0
Gd156,fission,4,0.0
Gd156,fission,5,0.0
Gd156,fission,6,0.0
Gd156,fission,7,0.0
Gd156,fission,8,0.0
U234,"(n,gamma)",1,96.66768037047594
U234,"(n,gamma)",2,51.64676736311307
U234,"(n,gamma)",3,32.11558752998897
U234,"(n,gamma)",4,18.653165356839608
U234,"(n,gamma)",5,7.726458980033779
U234,"(n,gamma)",6,67.65841070428115
U234,"(n,gamma)",7,0.3648209219157332
U234,"(n,gamma)",8,0.06471022445985154
U234,fission,1,0.06427723503755171
U234,fission,2,0.03434199973026552
U234,fission,3,0.02135439150531803
U234,fission,4,0.012398726896162476
U234,fission,5,0.005045556094470441
U234,fission,6,0.08660399157601148
U234,fission,7,0.2806703763130422
U234,fission,8,1.387579807781633
U235,"(n,gamma)",1,94.66556266299689
U235,"(n,gamma)",2,45.68212182668724
U235,"(n,gamma)",3,38.56425560923738
U235,"(n,gamma)",4,20.847058065186
U235,"(n,gamma)",5,9.55936438432188
U235,"(n,gamma)",6,12.914495959676588
U235,"(n,gamma)",7,0.4173997925704058
U235,"(n,gamma)",8,0.058962078981831534
U235,fission,1,557.2300260445663
U235,fission,2,276.6855486503482
U235,fission,3,184.0153402743064
U235,fission,4,118.12916652445203
U235,fission,5,36.424126301903435
U235,fission,6,21.46992207557253
U235,fission,7,1.614736261181885
U235,fission,8,1.2198906565260317
U238,"(n,gamma)",1,2.5814994201899886
U238,"(n,gamma)",2,1.4604211093471793
U238,"(n,gamma)",3,1.0013153554675982
U238,"(n,gamma)",4,0.7054659614142451
U238,"(n,gamma)",5,0.5111320195167116
U238,"(n,gamma)",6,2.5121694971595474
U238,"(n,gamma)",7,0.2392017298394377
U238,"(n,gamma)",8,0.05400022760610299
U238,fission,1,1.6157145709585136e-05
U238,fission,2,9.108263675199352e-06
U238,fission,3,6.20360661043636e-06
U238,fission,4,4.30105518908677e-06
U238,fission,5,2.6389008271610696e-06
U238,fission,6,0.00021153584018995827
U238,fission,7,0.00048732214791179896
U238,fission,8,0.38480827155755004
